Employee_ID,Employee_Name,Experience_Years,Date_Joined,Date_Of_Birth,Sex,Age,SSN
2,John Smith,5,2018-01-10,1998-04-19,Male,25,0x004AFA2E28F1984E94C35F9562F5A9CB02000000019EEB29DDFF5B437B71DC98C37F9B3B59D405437A4EA23F9EDE9901B6F56CC0D7E8043553B148373E45CBBA7B65D489
3,Emily Johnson,3,2020-04-15,1997-04-15,Female,26,0x004AFA2E28F1984E94C35F9562F5A9CB02000000C07D07903FBC7815957F202B75F2602EC1CF78A7E0D1A12AD53244461FD3974BD9101514BD43CB459E78805FF2DDF953
4,Michael Brown,7,2016-05-30,1999-05-30,Male,24,0x004AFA2E28F1984E94C35F9562F5A9CB02000000D0E8C8599FD95A267F6D452D0B355A4B01AA8A0DFF890EBD762F0D8A01E34F14661E47AC05044C3B37D3F708F9D6C660
5,Jessica Davis,2,2021-02-20,1999-02-20,Female,24,0x004AFA2E28F1984E94C35F9562F5A9CB0200000088E45CFB3E6D0C9B51962588C89592E1E6F324C9F6F24F20EDD5894BDE5796B0D81B3AF3C163B03E0F5830FEB479A0B6
6,Matthew Wilson,8,2015-08-11,1997-08-11,Male,26,0x004AFA2E28F1984E94C35F9562F5A9CB02000000CD325FCF74A99261D7D1AC39FBD50B817BFEE96414704B90D59A8DF7AC90AB79239B16541BD267F8F954277E6C745317
7,Ashley Miller,4,2019-07-22,2001-07-22,Female,22,0x004AFA2E28F1984E94C35F9562F5A9CB02000000A1973623F72A68E075AD62E3F69EF1BFEC2BEEF10E6DA5228700BE12711D028B2F9A24676B15F2BA97B3DD98F91EA047
8,Christopher Moore,10,2013-03-18,1992-03-18,Male,31,0x004AFA2E28F1984E94C35F9562F5A9CB020000005861BA253DF2CB1A698A29F4AA34E00CD0EB485AB5CA6833F6F666AAFFFBEF72A86290BCE3B2A0CA44BFF274D803FBF6
9,Amanda Taylor,6,2017-11-10,1999-11-10,Female,24,0x004AFA2E28F1984E94C35F9562F5A9CB020000002442DE53BE98EB993C668985A1A3DF1518735401C46DDD95F7CDE3EEDD9D11724C5DF8191B9D2A5D78D56AFDC4B1B869
10,Elizabeth Anderson,9,2014-12-05,1995-12-05,Female,28,0x004AFA2E28F1984E94C35F9562F5A9CB020000004F326658E18D22A3E2C3326D9283D847F7D77D48F108B22CBD433F4565E12698B682DC94C7B6A01EF2C3D77AD798014D
11,Brian Thomas,1,2022-06-01,2004-06-01,Male,19,0x004AFA2E28F1984E94C35F9562F5A9CB020000007F7D3B0F695AAA5D880152778E8CEC80C1F7308FE2C3AE79828F8D41FBAF1F2782505AAC0FE00E7AFC0565B1273BB6AA
12,Sophia Jackson,3,2020-09-14,2001-09-14,Female,22,0x004AFA2E28F1984E94C35F9562F5A9CB02000000EBB7E3C1562E935DE85F788018CB06A3393B38FB9E66B7CABCA08953711C2FE544D25E252AB256D9728BAB059C5FC982
13,Ethan White,2,2021-08-23,1999-08-23,Male,24,0x004AFA2E28F1984E94C35F9562F5A9CB0200000039E428B984FEF1CFD25D7C67175700B1AF285E2DAA1577552B4B8E03A4751D69EF136B3C914288FCF99F2BD006EBE01F
14,Madison Harris,5,2018-01-07,1999-01-07,Male,24,0x004AFA2E28F1984E94C35F9562F5A9CB0200000062D1CF732D05C3B89068A0838088E0AC6A05ED7B5B91999C4F2092555FBAD609191EAE564D8739DCE30FCDF96E7828C0
15,Alexander Martin,6,2017-04-03,2000-04-03,Male,23,0x004AFA2E28F1984E94C35F9562F5A9CB020000007B1029C5BC91799713CDD669C7138FB1A9350B5C3EA8C26E73FC66598F2518DBFEA069E72BBC506A0476C26B4D7F6E81
16,Olivia Thompson,4,2019-10-16,2001-10-16,Female,22,0x004AFA2E28F1984E94C35F9562F5A9CB020000009DF8DE2959D524069F0382ADAB848AA95CB25B0D364AE52B7DAFCE671491FDF63AF340C82962520362CC202A865FB215
17,William Garcia,7,2016-02-11,1999-02-11,Male,24,0x004AFA2E28F1984E94C35F9562F5A9CB020000008872704E7D97B0DC0B2354D52B24F9EBC52F8E9F2D94D066ED00A348B6D206041ED82613E71BA213A3DF3AC32F05E259
18,Isabella Martinez,8,2015-05-28,1997-05-28,Other,26,0x004AFA2E28F1984E94C35F9562F5A9CB02000000D19ADC1BA10FEA8BCADF62A4A5D3C2687DA226A3B5D3479A15AC7A628BAF39A8F26B45D41780A4679D97DFBDD1490609
19,David Rodriguez,1,2022-07-04,2004-07-04,Male,19,0x004AFA2E28F1984E94C35F9562F5A9CB02000000C8A7CA08A453FCE1FC475B49467AC37F15E7E1AF5EE10A60CF8C0F5CF28FD487274C8313516EA8C65841C43FA7C9BFEA
20,Charlotte Lee,2,2021-09-15,1999-09-15,Female,24,0x004AFA2E28F1984E94C35F9562F5A9CB02000000F2332A889199EAC859E966D94E93E0D2C2494493866650C09212D5E9BD9A10ADE51DD6F7C377D01E2B38F2F80DE4A095
21,Benjamin Walker,3,2020-12-21,2002-12-21,Male,21,0x004AFA2E28F1984E94C35F9562F5A9CB02000000BB9311D50D7C26B894C431C416EADC45F733AAE7F4F1EB7AA65871019D877982EFB20D0931CE9829ADB7A9D41C70A158
22,Abigail Hall,9,2014-10-30,1995-10-30,Female,28,0x004AFA2E28F1984E94C35F9562F5A9CB0200000034E10CBEEFCE32750CA4F0E946F65DA32D32E8921DDFAC5407DE2A12202A260ED954878FA93F12E2E6C46024230D4DF2
23,Daniel Allen,5,2018-06-19,2000-06-19,Other,23,0x004AFA2E28F1984E94C35F9562F5A9CB02000000E50C4C45146EC5792B40A7EED19B69DD3F5C67DF2A1759FA51848852E579065420CEAE17D04D31F7EFDD7013169237A8
24,Emma Young,4,2019-03-23,2001-03-23,Female,22,0x004AFA2E28F1984E94C35F9562F5A9CB020000003AC6D82F3FA73E1B0ABD077EAF899CBFC70E00E8A157F64387384D8E447CBD98EDFC3894300408AA9041C35E9C95F34D
25,Lucas Hernandez,6,2017-08-09,2001-08-09,Male,22,0x004AFA2E28F1984E94C35F9562F5A9CB02000000394D1469CD6C2171614D6F520818F3F38C48A1B50E64DC341AAC1E87024BB29D17EA9D02768FAFB9C4C0492B08BAC503
26,Mia King,7,2016-11-01,1999-11-01,Female,24,0x004AFA2E28F1984E94C35F9562F5A9CB020000001E3933F6C957CBA045E245F5090F0E76BBDFE96E990EA59AB4BED8DCD069F7064E6ECB91696D38E2C637A5CC80B645D9
